grape_Pinot Noir,flavor_score_citrus_fruit,grape_Merlot,vintage,flavor_score_dried_fruit,flavor_score_vegetal,flavor_score_non_oak,grape_Gewürztraminer,grape_Sauvignon Blanc,winery_name,taste_sweetness,wine_type,grape_Carménère,grape_Petite Sirah,flavor_score_floral,grape_Sémillon,flavor_score_spices,flavor_score_microbio,flavor_score_tropical_fruit,taste_intensity,natural_wine,grape_Malbec,ratings_count,flavor_score_earth,grape_Mourvedre,flavor_score_black_fruit,wine_name,grape_Grenache,grape_Shiraz/Syrah,grape_Chardonnay,flavor_score_red_fruit,grape_Zinfandel,taste_tannin,taste_fizziness,taste_acidity,wine_style,ratings_average,flavor_score_tree_fruit,grape_Petit Verdot,grape_Cabernet Franc,grape_Pinot Gris,flavor_score_oak,grape_Cabernet Sauvignon
,0.003337612323491656,1,2010,0.046983311938382545,0.005134788189987163,0.13786906290115533,,,The Dreaming Tree,1.7440522,Crush Red Blend,,,0.0038510911424903724,,0.07753530166880616,0.035686777920410785,0.0012836970474967907,4.8579397,False,,1305,0.11527599486521181,,0.13838254172015405,The Dreaming Tree Crush Red Blend 2010,,1,,0.20539152759948653,1,3.2368581,,3.874274,Californian Red Blend,3.9,0.0038510911424903724,,,,0.22541720154043646,1
,0.001774622892635315,,2015,0.01064773735581189,0.01064773735581189,0.12067435669920142,,,Rodney Strong,1.4478519,Estate Cabernet Sauvignon,,,0.007985803016858917,,0.09050576752440107,0.026619343389529725,0.001774622892635315,4.7979383,False,,1304,0.12422360248447205,,0.20940550133096716,Rodney Strong Estate Cabernet Sauvignon 2015,,,,0.11535048802129548,,3.434129,,3.019762,Californian Cabernet Sauvignon,3.9,0.006211180124223602,,,,0.2741792369121562,1
,0.07666666666666666,,2014,0.0033333333333333335,0.028888888888888888,0.09333333333333334,,,The Prisoner,2.4594102,Blindfold White Blend,,,0.027777777777777776,1,0.07111111111111111,0.18888888888888888,0.04962962962962963,4.024225,False,,1303,0.07037037037037037,,0.0025925925925925925,The Prisoner Blindfold White Blend 2014,,,1,0.003703703703703704,,,,2.323733,Californian White Blend,4.1,0.14074074074074075,,,,0.24296296296296296,
,0.0020549704597996403,1,2017,0.019008476753146673,0.010531723606473156,0.13793989211405086,,,Orin Swift,1.6909221,Papillon,,,0.010788594913948112,,0.11379398921140509,0.028769586437194964,,4.8894577,False,1,1300,0.13511430773182637,,0.19547906498844078,Orin Swift Papillon 2017,,,,0.11096840482918058,,3.448235,,3.8964436,Napa Valley Bordeaux Blend,4.5,0.0030824556896994607,1,1,,0.23246853326483433,1
,0.002844141069397042,1,2012,0.013651877133105802,0.009670079635949944,0.13708759954493743,,,Paraduxx,1.6219401,Proprietary Red,,,0.008532423208191127,,0.12571103526734925,0.020477815699658702,0.0005688282138794084,4.7641473,False,,1300,0.10409556313993173,,0.18657565415244595,Paraduxx Proprietary Red 2012,,1,,0.14562002275312855,1,3.3412828,,3.801436,Californian Red Blend,4.2,0.006257110352673493,,,,0.23890784982935154,1
,0.0033277870216306157,1,2015,0.027731558513588463,0.00887409872434831,0.14364947310038825,,,Ridge Vineyards,1.8325802,Lytton Springs,,,0.009706045479755962,,0.1461453133666112,0.02468108707709373,0.0005546311702717693,4.8028755,False,,1299,0.09595119245701608,,0.18746533555185801,Ridge Vineyards Lytton Springs 2015,,1,,0.13727121464226288,1,3.5669637,,3.8786337,Californian Red Blend,4.1,0.004714364947310039,,,,0.20992789794786468,1
,0.0015117157974300832,,2016,0.011337868480725623,0.003779289493575208,0.1602418745275888,,,Storypoint,1.720349,Cabernet Sauvignon,,,0.0007558578987150416,,0.12018140589569161,0.027966742252456538,,4.7760897,False,,1299,0.1383219954648526,,0.18140589569160998,Storypoint Cabernet Sauvignon 2016,,,,0.09599395313681028,,3.3345704,,3.0118554,Californian Cabernet Sauvignon,4,,,,,0.2585034013605442,1
,0.0019267822736030828,1,2014,0.02119460500963391,0.00899165061014772,0.15928066795118817,,,The Prisoner,2.1515825,Thorn Merlot,,,0.011560693641618497,,0.13937058445728967,0.023763648041104687,0.0019267822736030828,4.0538497,False,,1297,0.1014771997430957,,0.18689788053949905,The Prisoner Thorn Merlot 2014,,,,0.11303789338471419,,2.1119561,,1.7033999,Californian Merlot,4.2,0.00449582530507386,,,,0.22607578676942838,
,0.07173863376742061,,2018,0.002170436371944254,0.032099611606122916,0.09161526159469957,,,Kendall-Jackson,2.8146105,Vintner's Reserve Chardonnay,,,0.0042266392506282845,,0.07653644048435002,0.19899474525931002,0.09275759652730181,4.790309,False,,1296,0.044094128398446425,,0.0013708019191226869,Kendall-Jackson Vintner's Reserve Chardonnay 2018,,,1,0.002970070824765821,,,,3.1063478,Californian Chardonnay,3.8,0.09721270276445054,,,,0.28421293123143704,
,0.010253317249698432,,2016,0.013872135102533172,0.016887816646562123,0.1399276236429433,,,Rutherford Ranch,1.4325824,Cabernet Sauvignon,,,0.011459589867310011,,0.10675512665862485,0.03739445114595899,0.0024125452352231603,4.790539,False,,1296,0.10554885404101327,,0.1706875753920386,Rutherford Ranch Cabernet Sauvignon 2016,,,,0.1284680337756333,,3.3563218,,3.4170256,Napa Valley Cabernet Sauvignon,3.9,0.006031363088057901,,,,0.2503015681544029,1
